Geneid,SYMBOL_display,sample,norm_count,log2_norm,condition
gene-HOXA1,HOXA1,E-2-29-33,216.460092314017,7.76460685554847,anterior.sacral
gene-HOXA2,HOXA2,E-2-29-33,565.426128988484,9.14574400761909,anterior.sacral
gene-HOXA3,HOXA3,E-2-29-33,1360.46179515118,10.410940783225,anterior.sacral
gene-HOXA4,HOXA4,E-2-29-33,718.161988518468,9.49017295864552,anterior.sacral
gene-HOXA5,HOXA5,E-2-29-33,557.33416292067,9.12498502310653,anterior.sacral
gene-HOXA6,HOXA6,E-2-29-33,192.184194110576,7.59383325076461,anterior.sacral
gene-HOXA7,HOXA7,E-2-29-33,1817.65787798266,10.8286584564804,anterior.sacral
gene-HOXA9,HOXA9,E-2-29-33,2363.86558756008,11.2075424717484,anterior.sacral
gene-HOXA10-AS,HOXA10-AS,E-2-29-33,477.42599800101,8.9021519784914,anterior.sacral
gene-HOXA10,HOXA10,E-2-29-33,795.035666162698,9.63668926155284,anterior.sacral
gene-HOXA11,HOXA11,E-2-29-33,12.1379491017206,3.71566817635367,anterior.sacral
gene-HOXA13,HOXA13,E-2-29-33,0,0,anterior.sacral
gene-HOXB1,HOXB1,E-2-29-33,220.506075347924,7.79120245855105,anterior.sacral
gene-HOXB2,HOXB2,E-2-29-33,142.620901945217,7.16612191761453,anterior.sacral
gene-HOXB3,HOXB3,E-2-29-33,2262.71601171241,11.1444772648316,anterior.sacral
gene-HOXB4,HOXB4,E-2-29-33,1160.18563497279,10.1813829142697,anterior.sacral
gene-HOXB5,HOXB5,E-2-29-33,2083.68126246203,11.025611104199,anterior.sacral
gene-HOXB6,HOXB6,E-2-29-33,3207.45305012966,11.6476621568247,anterior.sacral
gene-HOXB7,HOXB7,E-2-29-33,52.5977794407892,5.74410132586662,anterior.sacral
gene-HOXB8,HOXB8,E-2-29-33,495.632921653591,8.95603609029893,anterior.sacral
gene-HOXC8,HOXC8,E-2-29-33,549.242196852857,9.10392297075206,anterior.sacral
gene-HOXC9,HOXC9,E-2-29-33,965.978449345263,9.91733992707853,anterior.sacral
gene-HOXC10,HOXC10,E-2-29-33,1605.24376870255,10.6494751421565,anterior.sacral
gene-HOXC11,HOXC11,E-2-29-33,4.04598303390686,2.3351353555533,anterior.sacral
gene-HOXC12,HOXC12,E-2-29-33,2.02299151695343,1.59597693051495,anterior.sacral
gene-HOXC13,HOXC13,E-2-29-33,0,0,anterior.sacral
gene-HOXD1,HOXD1,E-2-29-33,783.909212819455,9.61638198290038,anterior.sacral
gene-HOXD3,HOXD3,E-2-29-33,1535.45056136765,10.5853856304949,anterior.sacral
gene-HOXD4,HOXD4,E-2-29-33,25.2873939619179,4.71629922031332,anterior.sacral
gene-HOXD8,HOXD8,E-2-29-33,1026.66819485387,10.0051588187377,anterior.sacral
gene-HOXD9,HOXD9,E-2-29-33,614.989421153843,9.26676176442876,anterior.sacral
gene-HOXD10,HOXD10,E-2-29-33,226.575049898784,7.83019858678481,anterior.sacral
gene-HOXD11,HOXD11,E-2-29-33,0,0,anterior.sacral
gene-HOXD12,HOXD12,E-2-29-33,0,0,anterior.sacral
gene-HOXD13,HOXD13,E-2-29-33,0,0,anterior.sacral
gene-GDF11,GDF11,E-2-29-33,182.069236525809,7.51624556670729,anterior.sacral
gene-HOXA1,HOXA1,E-3-29-33,503.758745678763,8.97945019233608,anterior.sacral
gene-HOXA2,HOXA2,E-3-29-33,1081.30750480906,10.0798947400508,anterior.sacral
gene-HOXA3,HOXA3,E-3-29-33,1451.67661078697,10.5044978562212,anterior.sacral
gene-HOXA4,HOXA4,E-3-29-33,800.337838205133,9.64626679039511,anterior.sacral
gene-HOXA5,HOXA5,E-3-29-33,384.559493180126,8.59080967998927,anterior.sacral
gene-HOXA6,HOXA6,E-3-29-33,180.217917468177,7.50158179507357,anterior.sacral
gene-HOXA7,HOXA7,E-3-29-33,1643.24683801692,10.6832111805499,anterior.sacral
gene-HOXA9,HOXA9,E-3-29-33,2981.40035118614,11.5422582196484,anterior.sacral
gene-HOXA10-AS,HOXA10-AS,E-3-29-33,652.757811302059,9.35261246900722,anterior.sacral
gene-HOXA10,HOXA10,E-3-29-33,981.974794393533,9.94101061298384,anterior.sacral
gene-HOXA11,HOXA11,E-3-29-33,14.1903872022187,3.92508673942131,anterior.sacral
gene-HOXA13,HOXA13,E-3-29-33,0,0,anterior.sacral
gene-HOXB1,HOXB1,E-3-29-33,339.150254133026,8.41002835675116,anterior.sacral
gene-HOXB2,HOXB2,E-3-29-33,235.56042755683,7.88606494585981,anterior.sacral
gene-HOXB3,HOXB3,E-3-29-33,2371.21370149074,11.2120182659598,anterior.sacral
gene-HOXB4,HOXB4,E-3-29-33,1196.24964114703,10.2255082878155,anterior.sacral
gene-HOXB5,HOXB5,E-3-29-33,1803.59821340199,10.8174619472279,anterior.sacral
gene-HOXB6,HOXB6,E-3-29-33,2978.5622737457,11.5408846851881,anterior.sacral
gene-HOXB7,HOXB7,E-3-29-33,42.571161606656,5.44530167088598,anterior.sacral
gene-HOXB8,HOXB8,E-3-29-33,489.568358476544,8.93831037323991,anterior.sacral
gene-HOXC8,HOXC8,E-3-29-33,634.310307939175,9.31131761689719,anterior.sacral
gene-HOXC9,HOXC9,E-3-29-33,801.756876925355,9.64881930882089,anterior.sacral
gene-HOXC10,HOXC10,E-3-29-33,1837.65514268732,10.8444351985666,anterior.sacral
gene-HOXC11,HOXC11,E-3-29-33,2.83807744044374,1.94038382091762,anterior.sacral
gene-HOXC12,HOXC12,E-3-29-33,0,0,anterior.sacral
gene-HOXC13,HOXC13,E-3-29-33,0,0,anterior.sacral
gene-HOXD1,HOXD1,E-3-29-33,1318.28697108612,10.3655426981762,anterior.sacral
gene-HOXD3,HOXD3,E-3-29-33,1912.86419485908,10.9022727464847,anterior.sacral
gene-HOXD4,HOXD4,E-3-29-33,24.1236582437718,4.65097464454228,anterior.sacral
gene-HOXD8,HOXD8,E-3-29-33,1512.69527575651,10.5638590881346,anterior.sacral
gene-HOXD9,HOXD9,E-3-29-33,827.299573889349,9.69400883624164,anterior.sacral
gene-HOXD10,HOXD10,E-3-29-33,303.67428612748,8.25112393449296,anterior.sacral
gene-HOXD11,HOXD11,E-3-29-33,5.67615488088747,2.73901742433748,anterior.sacral
gene-HOXD12,HOXD12,E-3-29-33,0,0,anterior.sacral
gene-HOXD13,HOXD13,E-3-29-33,5.67615488088747,2.73901742433748,anterior.sacral
gene-GDF11,GDF11,E-3-29-33,133.389639700856,7.07027811265095,anterior.sacral
gene-HOXA1,HOXA1,E-4-34-38,311.493244565135,8.28768119190874,posterior.sacral
gene-HOXA2,HOXA2,E-4-34-38,478.797036699059,8.90628043712518,posterior.sacral
gene-HOXA3,HOXA3,E-4-34-38,984.01046162979,9.94399523704553,posterior.sacral
gene-HOXA4,HOXA4,E-4-34-38,931.177685166446,9.86446116726751,posterior.sacral
gene-HOXA5,HOXA5,E-4-34-38,621.885806287284,9.28282388784964,posterior.sacral
gene-HOXA6,HOXA6,E-4-34-38,201.424960266501,7.6612433841176,posterior.sacral
gene-HOXA7,HOXA7,E-4-34-38,970.802267513954,9.92451898848566,posterior.sacral
gene-HOXA9,HOXA9,E-4-34-38,2609.71902072062,11.3502314802577,posterior.sacral
gene-HOXA10-AS,HOXA10-AS,E-4-34-38,815.60598665288,9.673496333976,posterior.sacral
gene-HOXA10,HOXA10,E-4-34-38,1521.14368900713,10.5718888390576,posterior.sacral
gene-HOXA11,HOXA11,E-4-34-38,1217.3552243429,10.2507191122258,posterior.sacral
gene-HOXA13,HOXA13,E-4-34-38,13.2081941158361,3.82865129227649,posterior.sacral
gene-HOXB1,HOXB1,E-4-34-38,405.051286218974,8.66551814797561,posterior.sacral
gene-HOXB2,HOXB2,E-4-34-38,127.679209786416,7.007635171376,posterior.sacral
gene-HOXB3,HOXB3,E-4-34-38,1646.62153310757,10.6861691709848,posterior.sacral
gene-HOXB4,HOXB4,E-4-34-38,1357.14194540216,10.4074185545437,posterior.sacral
gene-HOXB5,HOXB5,E-4-34-38,2081.39125608717,11.0240254436863,posterior.sacral
gene-HOXB6,HOXB6,E-4-34-38,3277.83350641333,11.6789669306535,posterior.sacral
gene-HOXB7,HOXB7,E-4-34-38,49.5307279343854,5.6590890581356,posterior.sacral
gene-HOXB8,HOXB8,E-4-34-38,324.701438680971,8.34740628216227,posterior.sacral
gene-HOXC8,HOXC8,E-4-34-38,457.884062682319,8.84198589173421,posterior.sacral
gene-HOXC9,HOXC9,E-4-34-38,625.187854816243,9.29045171682956,posterior.sacral
gene-HOXC10,HOXC10,E-4-34-38,4800.07787826344,12.2291426227984,posterior.sacral
gene-HOXC11,HOXC11,E-4-34-38,191.518814679624,7.58885563567876,posterior.sacral
gene-HOXC12,HOXC12,E-4-34-38,0,0,posterior.sacral
gene-HOXC13,HOXC13,E-4-34-38,0,0,posterior.sacral
gene-HOXD1,HOXD1,E-4-34-38,607.576929328461,9.2492958332324,posterior.sacral
gene-HOXD3,HOXD3,E-4-34-38,1321.9200944266,10.3695102088215,posterior.sacral
gene-HOXD4,HOXD4,E-4-34-38,33.0204852895903,5.0883318155445,posterior.sacral
gene-HOXD8,HOXD8,E-4-34-38,1290.00029197999,10.3342736115954,posterior.sacral
gene-HOXD9,HOXD9,E-4-34-38,706.638385197232,9.46686849759916,posterior.sacral
gene-HOXD10,HOXD10,E-4-34-38,2410.49542614009,11.2357123584188,posterior.sacral
gene-HOXD11,HOXD11,E-4-34-38,377.534215144316,8.56427989893707,posterior.sacral
gene-HOXD12,HOXD12,E-4-34-38,13.2081941158361,3.82865129227649,posterior.sacral
gene-HOXD13,HOXD13,E-4-34-38,22.0136568597269,4.52441834025794,posterior.sacral
gene-GDF11,GDF11,E-4-34-38,158.498329390033,7.31739750283486,posterior.sacral
gene-HOXA1,HOXA1,E-4-39-49,401.536737259979,8.65297664565832,sacralized.caudal
gene-HOXA2,HOXA2,E-4-39-49,493.6788517049,8.95034841311876,sacralized.caudal
gene-HOXA3,HOXA3,E-4-39-49,969.605552920412,9.92274130368667,sacralized.caudal
gene-HOXA4,HOXA4,E-4-39-49,541.863260176098,9.08444503843227,sacralized.caudal
gene-HOXA5,HOXA5,E-4-39-49,374.485841276149,8.55261469776513,sacralized.caudal
gene-HOXA6,HOXA6,E-4-39-49,165.68673790096,7.38099551350132,sacralized.caudal
gene-HOXA7,HOXA7,E-4-39-49,539.327238677613,9.07768960191698,sacralized.caudal
gene-HOXA9,HOXA9,E-4-39-49,1833.54354340399,10.8412054324251,sacralized.caudal
gene-HOXA10-AS,HOXA10-AS,E-4-39-49,582.439604151843,9.18843951014552,sacralized.caudal
gene-HOXA10,HOXA10,E-4-39-49,1019.4806423906,9.99503310065157,sacralized.caudal
gene-HOXA11,HOXA11,E-4-39-49,3097.32759014855,11.5972739748505,sacralized.caudal
gene-HOXA13,HOXA13,E-4-39-49,463.246593723091,8.85874751461106,sacralized.caudal
gene-HOXB1,HOXB1,E-4-39-49,458.174550726123,8.84289887412574,sacralized.caudal
gene-HOXB2,HOXB2,E-4-39-49,85.3793904489639,6.43261523084235,sacralized.caudal
gene-HOXB3,HOXB3,E-4-39-49,1321.2672007102,10.3687980274589,sacralized.caudal
gene-HOXB4,HOXB4,E-4-39-49,762.497130544212,9.57647892471772,sacralized.caudal
gene-HOXB5,HOXB5,E-4-39-49,1520.76755859095,10.5715322968034,sacralized.caudal
gene-HOXB6,HOXB6,E-4-39-49,1999.23028130495,10.965950387948,sacralized.caudal
gene-HOXB7,HOXB7,E-4-39-49,11.8347669929257,3.68198519982275,sacralized.caudal
gene-HOXB8,HOXB8,E-4-39-49,202.036379379231,7.6655944376174,sacralized.caudal
gene-HOXC8,HOXC8,E-4-39-49,210.489784374178,7.72444416806721,sacralized.caudal
gene-HOXC9,HOXC9,E-4-39-49,257.828852345881,8.01585463715229,sacralized.caudal
gene-HOXC10,HOXC10,E-4-39-49,3097.32759014855,11.5972739748505,sacralized.caudal
gene-HOXC11,HOXC11,E-4-39-49,1251.94927975164,10.2911122992167,sacralized.caudal
gene-HOXC12,HOXC12,E-4-39-49,1622.20841853031,10.6646325372131,sacralized.caudal
gene-HOXC13,HOXC13,E-4-39-49,346.589604792824,8.44124112653551,sacralized.caudal
gene-HOXD1,HOXD1,E-4-39-49,736.291575059877,9.52609146133989,sacralized.caudal
gene-HOXD3,HOXD3,E-4-39-49,1191.93010428752,10.2202938003257,sacralized.caudal
gene-HOXD4,HOXD4,E-4-39-49,6.76272399595754,2.9565629933743,sacralized.caudal
gene-HOXD8,HOXD8,E-4-39-49,728.683510564425,9.51112704178636,sacralized.caudal
gene-HOXD9,HOXD9,E-4-39-49,415.907525751388,8.70358360477593,sacralized.caudal
gene-HOXD10,HOXD10,E-4-39-49,1399.88386716321,10.4521216464178,sacralized.caudal
gene-HOXD11,HOXD11,E-4-39-49,1767.6069844434,10.7883977761112,sacralized.caudal
gene-HOXD12,HOXD12,E-4-39-49,817.444263011367,9.6767403606402,sacralized.caudal
gene-HOXD13,HOXD13,E-4-39-49,460.710572224607,8.85084495729604,sacralized.caudal
gene-GDF11,GDF11,E-4-39-49,211.335124873673,7.73019923407263,sacralized.caudal
gene-HOXA1,HOXA1,E-6-29-33,244.976635673628,7.94237747607658,anterior.sacral
gene-HOXA2,HOXA2,E-6-29-33,415.998060577859,8.70389686360962,anterior.sacral
gene-HOXA3,HOXA3,E-6-29-33,1101.62449375248,10.1067258396554,anterior.sacral
gene-HOXA4,HOXA4,E-6-29-33,725.685505674709,9.50518732067411,anterior.sacral
gene-HOXA5,HOXA5,E-6-29-33,600.115720722504,9.23149894051438,anterior.sacral
gene-HOXA6,HOXA6,E-6-29-33,225.717466202431,7.82475172965346,anterior.sacral
gene-HOXA7,HOXA7,E-6-29-33,1989.08702298524,10.9586158033125,anterior.sacral
gene-HOXA9,HOXA9,E-6-29-33,2576.87687524618,11.3319676438955,anterior.sacral
gene-HOXA10-AS,HOXA10-AS,E-6-29-33,415.227693799011,8.7012291480659,anterior.sacral
gene-HOXA10,HOXA10,E-6-29-33,754.959443270929,9.56216502665306,anterior.sacral
gene-HOXA11,HOXA11,E-6-29-33,1.54073355769577,1.34524509040673,anterior.sacral
gene-HOXA13,HOXA13,E-6-29-33,0,0,anterior.sacral
gene-HOXB1,HOXB1,E-6-29-33,237.272967885149,7.89647147655182,anterior.sacral
gene-HOXB2,HOXB2,E-6-29-33,116.325383606031,6.87437136717149,anterior.sacral
gene-HOXB3,HOXB3,E-6-29-33,1776.46579202323,10.7956060795823,anterior.sacral
gene-HOXB4,HOXB4,E-6-29-33,896.70693057894,9.81010072292703,anterior.sacral
gene-HOXB5,HOXB5,E-6-29-33,1566.15566139775,10.6139327706456,anterior.sacral
gene-HOXB6,HOXB6,E-6-29-33,2964.37136500667,11.5339970750671,anterior.sacral
gene-HOXB7,HOXB7,E-6-29-33,32.3554047116112,5.05984864097148,anterior.sacral
