"","Exp_1","Free_1","Free_2","Exp_2","Pygo_1","Exp_3","Exp_4","Free_3","Pygo_2","Free_4","Pygo_3","Pygo_4"
"HALLMARK_ADIPOGENESIS",0.451773452045793,0.416973653670051,0.368710378555184,0.338165364219279,0.412180309781496,0.341782921520543,0.334552151393933,0.368000222499574,0.393935273003227,0.383079780034523,0.379608466934692,0.367794690185968
"HALLMARK_ALLOGRAFT_REJECTION",0.0746008883077635,0.191548202120761,0.185658550586943,0.248699286463722,0.241972496839487,0.241327545795909,0.232465707378319,0.17155981208819,0.275210949561185,0.155921707458979,0.232674080543469,0.206114985971455
"HALLMARK_ANDROGEN_RESPONSE",0.537031031344173,0.489127011831065,0.475934331303994,0.536999239842043,0.501876533855523,0.542487597816728,0.539404244498714,0.503397180624701,0.508172774546782,0.480398551310346,0.534573628069167,0.526792351295349
"HALLMARK_ANGIOGENESIS",0.610792910803243,0.720689970600584,0.705650531714848,0.539875521387698,0.552008426904977,0.538435439285684,0.486244491704061,0.697140143718568,0.550407337909704,0.694072753764228,0.545377404231408,0.547307325531586
"HALLMARK_APICAL_JUNCTION",0.339035914964716,0.478980049387057,0.454260402339403,0.347798067115539,0.406712668453788,0.341377016662942,0.330318896035927,0.416144744851662,0.390345863200627,0.44757048688637,0.391532689335472,0.379557507317652
"HALLMARK_APICAL_SURFACE",0.285870807176368,0.19712377683613,0.182406093986321,0.154803619837872,0.219776723475962,0.150980719617143,0.150934867347851,0.186389653740818,0.224707690894587,0.200337901655876,0.204235865138788,0.142997924876862
"HALLMARK_APOPTOSIS",0.292541716255906,0.382204269988825,0.370201980214542,0.357151066346683,0.367458321074784,0.347992615730653,0.338656275996003,0.379799126101275,0.375898801746057,0.349573092820172,0.359877371438994,0.35579609319103
"HALLMARK_BILE_ACID_METABOLISM",0.340055069416751,0.0590952880483853,0.0477733715774977,0.0653763654825089,0.109197762737974,0.0707958392007723,0.071186478593142,0.0681805920722468,0.0910630907804639,0.0629637492553667,0.0702875152913335,0.0730520774102418
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.467507126096051,0.389632224364674,0.388864093241371,0.448512094107636,0.41240450736553,0.461172904416023,0.475561527487503,0.434993334193571,0.417382503626088,0.403466190054703,0.422272943376158,0.448174711435027
"HALLMARK_COAGULATION",0.276857010994811,0.321754666615681,0.337666007250404,0.216450826023728,0.255615294398415,0.223348827960846,0.210060685733924,0.323013538086776,0.263413155625627,0.307354326044303,0.239771291377709,0.22864580784987
"HALLMARK_COMPLEMENT",0.242913033132938,0.347497454507595,0.31629043484194,0.291279068979224,0.310828928245839,0.29326284553951,0.282356316190709,0.292406352513839,0.3369625154684,0.285919929629019,0.297455423011541,0.297770657161288
"HALLMARK_DNA_REPAIR",0.118522634896427,0.103976816508828,0.109775766232523,0.160900912927519,0.16992174899469,0.162578911238652,0.16588993302375,0.118683018823266,0.169092973077619,0.135919824030128,0.170244238636875,0.16648761918098
"HALLMARK_E2F_TARGETS",0.11074197127654,0.0247095950509039,0.0641946697440592,0.289751311982701,0.217651483044829,0.278489238613648,0.284990086664089,0.106445943264148,0.247225451983482,0.0963796558621486,0.244096768886631,0.202670783408078
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.502183901921865,0.729509673769609,0.751576050520936,0.551696082196207,0.609508084003599,0.558363096765913,0.530050697654076,0.726232793853501,0.59895841463205,0.73019429356183,0.62821649602046,0.607936043535449
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.294370573383504,0.302393227519367,0.330490512122742,0.242069226728464,0.282950759801289,0.231781452680589,0.247966911320607,0.315935901123358,0.268262447775573,0.319859059387859,0.272958630293476,0.28490427070411
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.260356978590932,0.258812436532714,0.275033744497547,0.212677113020486,0.23498700809426,0.210376037182795,0.212635302107063,0.268233200718705,0.236842924263842,0.266519845560902,0.237513754855357,0.232070313677266
"HALLMARK_FATTY_ACID_METABOLISM",0.422455777445469,0.243371357002948,0.192580765129712,0.187344917806623,0.233794474196924,0.191656662696125,0.184458044590665,0.197783847576942,0.214626621145025,0.206140499809155,0.200088042585634,0.183483718458289
"HALLMARK_G2M_CHECKPOINT",0.290122054648714,0.227174830929033,0.256344183955928,0.45347002707934,0.371037632694638,0.44888689845969,0.454658359388852,0.285764362535588,0.406069793425591,0.292554612641129,0.417372566887852,0.376694228814046
"HALLMARK_GLYCOLYSIS",0.414878262679952,0.33532032297163,0.342055294257239,0.388427151034739,0.380551739730934,0.382643150791695,0.390575043900052,0.400216070643724,0.376235540670109,0.363431659756304,0.370212178872864,0.375744678320781
"HALLMARK_HEDGEHOG_SIGNALING",0.317021686571727,0.383685172229367,0.324100504810091,0.23717668349159,0.26936012943983,0.260961188954756,0.27709433623876,0.326509742035296,0.26454302947784,0.327967502479812,0.256732026687735,0.260612066777557
"HALLMARK_HEME_METABOLISM",0.426818501918449,0.437100861408846,0.391001498771124,0.552379087560739,0.52690860203984,0.535147750490192,0.54275201397936,0.446366745247723,0.55397730530191,0.396608566779623,0.529782164777604,0.52017884547324
"HALLMARK_HYPOXIA",0.429203492025495,0.450290344956425,0.452095941184931,0.42092604635342,0.454609058273003,0.398328135420809,0.410940851747206,0.473139425234967,0.427627994290287,0.449954593240071,0.419386268466533,0.438637482883783
"HALLMARK_IL2_STAT5_SIGNALING",0.237756166928226,0.314079122470299,0.319931087840954,0.289333917478467,0.267912828584266,0.293747810593742,0.298746181992679,0.304016972466191,0.2830305229897,0.287564021353137,0.265818868312075,0.284772048653112
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0831438132797133,0.290029548325345,0.298661576143796,0.318478401075724,0.321995236686147,0.293296909622073,0.300024000896011,0.291610100701063,0.363987124737257,0.233588789034742,0.312301433586208,0.296667303279111
"HALLMARK_INFLAMMATORY_RESPONSE",-0.0427254014363933,0.115911361828,0.105436678840429,0.0701393224336241,0.0589219707894437,0.0488334739075544,0.049370291295925,0.0795085611232144,0.0878298688332436,0.0653319736099963,0.0428510534859415,0.0348496818971785
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.043714921033682,0.228065378334153,0.180272737293367,0.257093814923925,0.213630010467089,0.208655097855128,0.214420196118946,0.146368511475089,0.263430172414391,0.157108173670189,0.216865028315857,0.209878208078825
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0926136874572172,0.264164017992648,0.23363965114563,0.246825310343298,0.216941230179223,0.228445188278989,0.226009949614316,0.199426869244631,0.245823135991773,0.204392525326187,0.219482645833051,0.2181254439833
"HALLMARK_KRAS_SIGNALING_DN",-0.164941780482172,-0.178667108032681,-0.193497174880972,-0.240549858835736,-0.204219131378982,-0.248423949479064,-0.234887652957464,-0.230978078313519,-0.220077671307396,-0.208307542896393,-0.240161972779206,-0.233599524007111
"HALLMARK_KRAS_SIGNALING_UP",0.0727527183257492,0.178589381299041,0.143803172978929,0.113769499837564,0.100401562529664,0.125180428235532,0.114994417902784,0.147149186686713,0.108674942139359,0.115802182675095,0.109487504843567,0.0975458477128229
"HALLMARK_MITOTIC_SPINDLE",0.541599111776979,0.565254259744501,0.569893248607731,0.625390933412123,0.600648857304342,0.610638240408439,0.61314502600819,0.569924661499814,0.609020292466572,0.573479321384376,0.613076968285417,0.578143524330204
"HALLMARK_MTORC1_SIGNALING",0.499403731251632,0.42902653657929,0.406869546873065,0.506199317509531,0.501312657659792,0.509950655013328,0.512982172572116,0.473458992647988,0.498131508681993,0.430549720362452,0.484803773100787,0.50125010956725
"HALLMARK_MYC_TARGETS_V1",0.467964129158094,0.450265132752858,0.422917015530383,0.528835535393942,0.509169463798438,0.534360460931756,0.529611647524674,0.459200571931453,0.504412866600787,0.457898488571269,0.528671028378433,0.530344533313414
"HALLMARK_MYC_TARGETS_V2",0.129590425345515,-0.0170358852996072,0.0123349341702736,0.176816859616278,0.213772581295457,0.157729093402799,0.179048656328597,0.0989330154943256,0.21295958709461,0.0371262628925584,0.178948358985081,0.149751561213237
"HALLMARK_MYOGENESIS",0.190664627403437,0.512096790024621,0.347718397819091,0.162192323487096,0.465371621996529,0.153362640090002,0.161550184039016,0.311134672574987,0.335587405703023,0.503101098785349,0.326821212724189,0.376471687460865
"HALLMARK_NOTCH_SIGNALING",0.395343326617996,0.361810808544122,0.385185460464606,0.411768260455717,0.394256232932309,0.382500261128159,0.39283798666327,0.432172548169363,0.398486248505423,0.39056757920884,0.389009724583504,0.406274823507127
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.4367844979578,0.282043606162543,0.193293759096623,0.256829592247167,0.331576046016553,0.280505349240737,0.249234419110214,0.270634670217219,0.305002536932399,0.265395103045309,0.306850285811987,0.279535028214712
"HALLMARK_P53_PATHWAY",0.186768137156444,0.222240970553323,0.218714507001159,0.222695770896002,0.278534182095597,0.197614178605304,0.206939489999985,0.240036313004106,0.26568437996818,0.208968076479386,0.246973865356655,0.226247916682432
"HALLMARK_PANCREAS_BETA_CELLS",-0.100747010240087,-0.109143158993606,-0.118034361868698,-0.117681394393936,-0.157797258925029,-0.104007817895581,-0.0824940962863734,-0.118561959042177,-0.15164471224166,-0.115528588906582,-0.124164166822071,-0.086221339841857
"HALLMARK_PEROXISOME",0.410542210951917,0.236378207744279,0.204921050357985,0.222893377344569,0.232527451807832,0.226689458623494,0.214073806977747,0.218882735696485,0.209453613655626,0.234112288588291,0.204401688926249,0.219485184840666
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.393523681068413,0.417661564253252,0.405965226028857,0.460455293640067,0.457565024501615,0.456614716087154,0.457634863594685,0.413262691805163,0.472254006422789,0.407626438598141,0.445438444885512,0.44628721960227
"HALLMARK_PROTEIN_SECRETION",0.651156815494399,0.600338767967334,0.599615250650665,0.638328787482943,0.574251888277719,0.652638880785923,0.64453177389043,0.609439294743844,0.575937212317335,0.588929983225188,0.60670070015835,0.608736011835266
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.380169006694483,0.356741536457629,0.320887870307182,0.333607451287179,0.361712266856061,0.33305608228895,0.32882040721326,0.314451414257651,0.377065631295159,0.315494099523699,0.3520137317072,0.321749848654303
"HALLMARK_SPERMATOGENESIS",0.0380938227729793,0.0233879110769028,-0.0240733754924855,0.0586078271306221,0.00476669311449977,0.0587968511287068,0.0593779938259176,-0.0125380108761473,0.0215617209772242,-0.00459137084226295,0.0402768845773516,0.0141194929688332
"HALLMARK_TGF_BETA_SIGNALING",0.643013897969138,0.645697203762913,0.667980534152444,0.637377026185459,0.603162890596553,0.643989013218421,0.645320623535088,0.689813998982869,0.601303843773047,0.647801422204291,0.621873509901675,0.646461502113839
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.139680466165683,0.342770710177179,0.351743589110361,0.272420837591999,0.278343612746036,0.228219700356929,0.244171850303846,0.337207293336772,0.270050656350076,0.316971524877126,0.274882661701571,0.296884813873039
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.474898590044007,0.444333524616357,0.458392391091032,0.506916822625055,0.500719751505025,0.52024521572152,0.521470314207293,0.498955712373892,0.483843030655525,0.500546675794829,0.506146527202013,0.530245895492629
"HALLMARK_UV_RESPONSE_DN",0.526270199167914,0.664984560733497,0.663319460444428,0.54271552816982,0.518492893334434,0.538967497368902,0.54693967846158,0.626690444977968,0.507874612900761,0.644898285403186,0.532868320506587,0.554204798981479
"HALLMARK_UV_RESPONSE_UP",0.20894288219825,0.246732896735063,0.198181560559981,0.211883698864212,0.255414063926885,0.192153215603394,0.194016049743221,0.205135586810404,0.243336609550328,0.213630908279089,0.226710704835325,0.238901229017899
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.332895169555502,0.344332771262514,0.400671433554295,0.396883954061776,0.349460205950157,0.360524543830779,0.356976707125211,0.418199902180391,0.374157302571756,0.39465862389906,0.376860718070094,0.394241177716865
"HALLMARK_XENOBIOTIC_METABOLISM",0.334361990605542,0.154222861746003,0.150968900548962,0.140140251631158,0.174102572885356,0.133506498282627,0.126323623752548,0.1518771984376,0.191398388796336,0.121725810407954,0.163906552906641,0.150054684368126
