Module,Human_Symbol,Chicken_Symbol,Full_Name,Reaction,TriSI_Relevance,Predicted_Direction_Fusing,Evidence_Tier,Chicken_Annotation_Risk,Key_References
1_Biosynthesis_Enzymatic,CH25H,CH25H,Cholesterol 25-hydroxylase,Cholesterol → 25-HC,ISG; induced by type I IFN and TLR3/4. Direct bridge from cGAS-STING/ISG module to oxysterol production.,UP (ISG-driven),High,MEDIUM — intronless gene; verify Ensembl ID in GRCg7b. May appear as LOC identifier.,Liu et al. 2013 Immunity; Blanc et al. 2013 Immunity; Reboldi et al. 2014 Science
1_Biosynthesis_Enzymatic,CYP7B1,CYP7B1,Oxysterol 7-alpha-hydroxylase,"25-HC → 7α,25-diHC (GPR183 ligand)",Produces the immune cell chemoattractant. LPS-inducible in macrophages. Shapes oxysterol gradient for OCP recruitment.,UP (inflammation-driven),High,LOW — CYP450 family well-annotated in chicken,Hannedouche et al. 2011 Nature; Yi et al. 2012 Immunity
1_Biosynthesis_Enzymatic,CYP27A1,CYP27A1,Sterol 27-hydroxylase,Cholesterol → 27-OHC,Macrophage-derived 27-OHC promotes osteoclastogenesis via LXR/RANKL. Mitochondrial P450.,UP (macrophage infiltration),High,LOW — well-conserved mitochondrial CYP450,Nelson et al. 2011 Endocrinology; DuSell et al. 2010
1_Biosynthesis_Enzymatic,CYP46A1,CYP46A1,Cholesterol 24-hydroxylase,Cholesterol → 24(S)-OHC,Primarily neural; included for metabolomic completeness. Less direct bone relevance.,UNCERTAIN,Moderate,MEDIUM — may be absent or poorly annotated in non-neural chicken tissues,Russell 2003 Annu Rev Biochem
1_Biosynthesis_Enzymatic,CYP7A1,CYP7A1,Cholesterol 7-alpha-hydroxylase (hepatic),Cholesterol → 7α-OHC (bile acid pathway),Primarily hepatic rate-limiting bile acid enzyme. Low priority for disc tissue but included for metabolomic panel context.,UNCERTAIN (likely low expression in disc),Low,LOW — well-annotated CYP450,Russell 2003 Annu Rev Biochem
1_Biosynthesis_Enzymatic,CYP11A1,CYP11A1,Cytochrome P450 side-chain cleavage,Cholesterol → pregnenolone; also produces 20(S)-OHC and 22(R)-OHC as intermediates,Source of endogenous osteogenic oxysterols 20(S)-OHC and 22(R)-OHC. Mitochondrial.,UNCERTAIN,Moderate,"LOW — essential steroidogenic enzyme, well-annotated",Dwyer et al. 2007 J Biol Chem
2A_Hedgehog_Osteogenic,SMO,SMO,Smoothened,Oxysterol receptor (allosteric activation bypassing PTCH1),"Oxysterols (20S-OHC, Oxy133) directly bind SMO to activate Hh signaling and osteoblast differentiation. Cyclopamine-blockable.","Context-dependent (receptor, not DE per se)",High,LOW — core developmental gene,Dwyer et al. 2007 J Biol Chem; Montgomery et al. 2012 J Bone Miner Res; Nachtergaele et al. 2012 Nat Chem Biol
2A_Hedgehog_Osteogenic,PTCH1,PTCH1,Patched 1,Hh receptor; constitutive SMO repressor. Oxysterols may bypass PTCH1 repression.,Core Hh pathway; also a Hh target gene (feedback). SHH overexpression in NP blocked sacral fusion (Bonavita et al. 2018).,UNCERTAIN — complex regulation,High,LOW,Bonavita et al. 2018 Biol Open (cited in PNAS 2023)
2A_Hedgehog_Osteogenic,GLI1,GLI1,GLI family zinc finger 1,Hh transcriptional activator; direct readout of pathway activation,GLI-reporter activation by oxysterols demonstrated. Downstream effector of SMO.,UP (if oxysterol-Hh axis active),High,LOW,Montgomery et al. 2012 J Bone Miner Res
2A_Hedgehog_Osteogenic,GLI2,GLI2,GLI family zinc finger 2,Hh TF; bifunctional activator/repressor,Cooperates with GLI1 in osteogenic program.,UNCERTAIN,High,LOW,Hui & Angers 2011 Annu Rev Cell Dev Biol
2A_Hedgehog_Osteogenic,GLI3,GLI3,GLI family zinc finger 3,Primarily Hh repressor (GLI3R); processed to repressor in absence of Hh,Repressor form inhibits osteogenic targets; pathway activation converts to activator.,UNCERTAIN,High,LOW,Hui & Angers 2011
2A_Hedgehog_Osteogenic,HES1,HES1,Hes family bHLH transcription factor 1,Notch target gene; induced by oxysterols via non-canonical (SMO-dependent) Notch signaling,siRNA knockdown inhibits oxysterol-induced osteogenic genes. Part of oxysterol → SMO → Notch crosstalk.,UP (if oxysterol-Hh axis active),High,LOW,Kim et al. 2010 J Bone Miner Res
2A_Hedgehog_Osteogenic,HEY1,HEY1,Hes related family bHLH TF with YRPW motif 1,Notch target; induced by oxysterol/SMO signaling; partially LXR-dependent,siRNA knockdown inhibits oxysterol-induced osteogenesis. LXR knockdown partially blocks HEY1 induction.,UP,High,LOW,Kim et al. 2010 J Bone Miner Res
2B_Immune_Chemotaxis,GPR183,GPR183,G protein-coupled receptor 183 (EBI2),"Oxysterol receptor for 7α,25-diHC; chemotactic GPCR on immune cells and OC precursors",Directs monocyte/OCP migration to bone surfaces along oxysterol gradients. OBs secrete ligand. Critical for coupled remodeling.,UP (on infiltrating immune/OC precursors),High,MEDIUM — GPCR; verify annotation in GRCg7b. May be annotated as EBI2.,Hannedouche et al. 2011 Nature; Nevius et al. 2015 J Exp Med
2B_Immune_Chemotaxis,HSD3B7,HSD3B7,3-beta-hydroxysteroid dehydrogenase type 7,"Degrades 7α,25-diHC → inactive; shapes chemotactic gradient",Gradient-sculpting enzyme. High expression = low ligand zone. Important for spatial patterning of immune recruitment.,UNCERTAIN (spatial gradient logic),High,MEDIUM — verify ortholog assignment,Yi et al. 2012 Immunity
2C_LXR_Cholesterol_Inflammasome,NR1H3,NR1H3,Liver X receptor alpha (LXRα),Nuclear receptor activated by oxysterols; promotes cholesterol efflux; anti-inflammatory via NF-κB transrepression; but also induces RANKL in osteoblasts,Dual role: anti-inflammatory (NF-κB suppression) AND pro-resorptive (27-OHC → LXR → RANKL). Key integration node.,UP (activated by oxysterol ligands),High,"LOW — nuclear receptor, well-conserved",Nelson et al. 2011 Endocrinology; Tall & Yvan-Charvet 2015 Nat Rev Immunol
2C_LXR_Cholesterol_Inflammasome,NR1H2,NR1H2,Liver X receptor beta (LXRβ),Ubiquitous LXR isoform; similar oxysterol responsiveness,Broadly expressed complement to LXRα.,UNCERTAIN (constitutive expression likely),High,LOW,Tall & Yvan-Charvet 2015 Nat Rev Immunol
2C_LXR_Cholesterol_Inflammasome,ABCA1,ABCA1,ATP-binding cassette transporter A1,LXR target; cholesterol efflux to ApoA-I. Readout of LXR activation.,Cholesterol efflux suppresses TLR signaling and inflammasome (membrane raft disruption). Key LXR effector.,UP (LXR target),High,LOW — well-annotated ABC transporter,Tall & Yvan-Charvet 2015 Nat Rev Immunol
2C_LXR_Cholesterol_Inflammasome,ABCG1,ABCG1,ATP-binding cassette transporter G1,LXR target; cholesterol efflux to HDL,Cooperates with ABCA1 for cholesterol efflux. Efflux deficiency amplifies inflammasome.,UP (LXR target),High,LOW,Tall & Yvan-Charvet 2015
2C_LXR_Cholesterol_Inflammasome,SREBF2,SREBF2,Sterol regulatory element binding TF 2,Master TF for cholesterol biosynthesis; processing suppressed by oxysterols via INSIG/SCAP,SCAP-SREBF2 complex physically associates with NLRP3 for inflammasome assembly (Guo et al. 2018 Immunity). Bridge between cholesterol sensing and inflammasome.,"UNCERTAIN (processing-level regulation, not just transcript)",High,LOW,Guo et al. 2018 Immunity; Reboldi et al. 2014 Science
2C_LXR_Cholesterol_Inflammasome,SCAP,SCAP,SREBP cleavage-activating protein,ER cholesterol sensor; escorts SREBP2 to Golgi when cholesterol is low. NLRP3 scaffolding partner.,SCAP-SREBP2-NLRP3 ternary complex required for optimal inflammasome assembly. Statin treatment (cholesterol depletion) amplifies inflammasome via this axis.,UNCERTAIN (scaffolding role; transcript may not change),High,LOW,Guo et al. 2018 Immunity
2C_LXR_Cholesterol_Inflammasome,HMGCR,HMGCR,HMG-CoA reductase,Rate-limiting enzyme of cholesterol biosynthesis; SREBP2 target,Oxysterols suppress via INSIG/SCAP/SREBP2. Readout of cholesterol biosynthetic flux.,DOWN (suppressed by oxysterol-INSIG axis) or UP (if cholesterol demand high),High,LOW — essential housekeeping gene,Brown & Goldstein 1997 Cell
2C_LXR_Cholesterol_Inflammasome,INSIG1,INSIG1,Insulin-induced gene 1,ER retention of SCAP-SREBP2 when bound to oxysterols; negative feedback on cholesterol biosynthesis,Direct oxysterol sensor. Oxysterol binding → INSIG-SCAP interaction → SREBP2 retained in ER.,UP (induced by SREBP2 as negative feedback),High,LOW,Radhakrishnan et al. 2007 Cell Metab
2C_LXR_Cholesterol_Inflammasome,INSIG2,INSIG2,Insulin-induced gene 2,Similar ER retention function as INSIG1; constitutively expressed,Complementary oxysterol sensor.,UNCERTAIN,High,LOW,Radhakrishnan et al. 2007
2C_LXR_Cholesterol_Inflammasome,LDLR,LDLR,Low-density lipoprotein receptor,Cholesterol uptake receptor; SREBP2 target,Readout of SREBP2 transcriptional activity.,UNCERTAIN,High,LOW,Brown & Goldstein 1997
2C_LXR_Cholesterol_Inflammasome,HMGCS1,HMGCS1,HMG-CoA synthase 1,Upstream of HMGCR in mevalonate pathway; SREBP2 target,Cholesterol biosynthesis marker; co-regulated with HMGCR.,Co-directional with HMGCR,Moderate,LOW,Guo et al. 2018 Immunity
3_Degradation,SULT2B1,SULT2B1,Sulfotransferase family 2B member 1,"Sulfonates oxysterols (7-KC, 25-HC, etc.) → inactive sulfated forms",Major oxysterol inactivation pathway. Low expression = prolonged oxysterol signaling.,UNCERTAIN (low expression would amplify oxysterol effects),High,MEDIUM — sulfotransferase family; verify in GRCg7b,Fuda et al. 2007 J Lipid Res
3_Degradation,HSD11B1,HSD11B1,11-beta-hydroxysteroid dehydrogenase type 1,Interconverts 7-KC ↔ 7β-OHC. Hepatic detoxification; also cortisol/cortisone conversion.,Metabolizes toxic 7-KC. Also relevant to glucocorticoid biology (prednisolone experiments).,UNCERTAIN,Moderate,LOW,Anderson et al. 2020 Redox Biol
4_Transport,NPC1,NPC1,NPC intracellular cholesterol transporter 1,Lysosomal cholesterol/oxysterol export to ER and PM,NPC1 disruption blocks NLRP3 inflammasome activation by trapping cholesterol in lysosomes (de la Roche et al. 2018 J Cell Biol).,UNCERTAIN,High,LOW,de la Roche et al. 2018 J Cell Biol
4_Transport,NPC2,NPC2,NPC intracellular cholesterol transporter 2,Lysosomal cholesterol transfer protein; works with NPC1,Cooperative with NPC1 for cholesterol egress.,UNCERTAIN,Moderate,LOW,Infante et al. 2008 PNAS
4_Transport,OSBP,OSBP,Oxysterol-binding protein,Intracellular oxysterol transport at ER-Golgi membrane contact sites,Intracellular oxysterol distribution; may influence compartmentalized signaling.,UNCERTAIN,Moderate,LOW,Mesmin et al. 2017 Curr Opin Cell Biol
4_Transport,STARD1,STARD1,StAR-related lipid transfer domain 1,Cholesterol transport to mitochondrial inner membrane (for CYP11A1 and CYP27A1),Rate-limiting step for mitochondrial oxysterol production. Induced by cAMP/PKA.,UNCERTAIN,Moderate,LOW — well-conserved steroidogenic gene,Stocco 2001 Annu Rev Physiol
4_Transport,STARD4,STARD4,StAR-related lipid transfer domain 4,Non-vesicular cholesterol transport between ER and PM,Intracellular cholesterol distribution; SREBP2 target.,UNCERTAIN,Low,MEDIUM,Rodriguez-Agudo et al. 2011 Biochim Biophys Acta
5_Osteogenic_Readouts,RUNX2,RUNX2,RUNX family transcription factor 2,Master osteoblast TF; induced by oxysterol-SMO-Hh cascade; DNA binding enhanced by oxysterol via PKC,Already in your osteoblast panel. Include here as convergence point from oxysterol Arm A.,UP (per existing data),High,LOW,Kha et al. 2004 J Bone Miner Res; Richardson et al. 2007 J Cell Biochem
5_Osteogenic_Readouts,SP7,SP7,Osterix (Sp7 transcription factor),Osteoblast commitment TF downstream of RUNX2; induced by oxysterols,Already in osteoblast panel. Oxysterol-inducible.,UP (per existing data),High,LOW,Montgomery et al. 2012 J Bone Miner Res
5_Osteogenic_Readouts,ALPL,ALPL,"Alkaline phosphatase, tissue-nonspecific",Osteoblast activity marker; induced by oxysterols,Already in osteoblast panel. Key functional readout of osteogenic differentiation.,UP (per existing data),High,LOW,Kha et al. 2004; Aghaloo et al. 2007 J Orthop Res
5_Osteogenic_Readouts,BGLAP,BGLAP,Osteocalcin (bone gamma-carboxyglutamate protein),Mature osteoblast marker; induced by oxysterols,Already in osteoblast panel. Late-stage osteogenic marker.,UP (per existing data),High,LOW,Kha et al. 2004; Montgomery et al. 2012
